Date,Close,High,Low,Open,Volume
22-12-2006,42.66322708,43.22313408,42.45962307,43.22313408,7372820
26-12-2006,43.72577667,43.89332645,42.58687572,43.04922171,3797560
27-12-2006,44.9495163,45.09797588,43.90181073,43.90181073,4520940
28-12-2006,45.81270218,46.14992143,44.83922808,45.17432439,9042300
29-12-2006,45.29944992,46.60378082,45.08948684,46.06508054,6219780
02-01-2007,45.38641357,45.80210365,45.17644722,45.80210365,4033540
03-01-2007,45.18705368,45.38641509,44.6674435,45.30158196,3032100
04-01-2007,44.54018021,45.17431852,43.9018025,44.79256307,6866840
05-01-2007,44.83074188,45.54971333,43.86574989,44.73742352,11909340
08-01-2007,43.47550583,44.70772484,43.1191997,44.70772484,6214060
09-01-2007,43.00680161,43.89968515,42.59111483,43.77455194,10463200
10-01-2007,42.35993576,43.20191744,42.20511389,43.19979774,7135500
11-01-2007,42.25389481,43.17222762,41.61551708,42.77774751,20115340
12-01-2007,45.03010559,45.37792654,43.09587888,43.19343987,13665140
15-01-2007,46.40442276,46.78617825,45.59849522,45.80846155,9705900
16-01-2007,46.49349594,46.85828414,45.81906074,46.82859223,12846940
17-01-2007,45.01102066,46.65893014,44.49565312,46.61651358,17386300
18-01-2007,45.00678253,45.55608463,44.59321214,45.17432909,13192660
19-01-2007,45.31853867,45.71726141,44.62289679,44.62289679,9001000
22-01-2007,44.80529404,45.51366384,44.34931036,45.38641093,6886040
23-01-2007,43.8127327,44.75015257,43.62609595,44.75015257,10682440
24-01-2007,44.89649963,45.16796954,44.11390154,44.11390154,6323880
25-01-2007,45.22098923,45.59850215,44.66532479,45.00678348,10185640
29-01-2007,45.06403351,49.20395324,44.55078576,45.38640514,10488760
31-01-2007,45.751194,46.06508039,44.36839232,45.21673635,16488260
01-02-2007,46.82646561,47.12550764,45.24006326,45.81269481,8651320
02-02-2007,46.9176712,47.71935613,46.50198117,47.06188815,18093780
05-02-2007,46.80101776,47.24427673,46.03538716,46.07568402,4368420
06-02-2007,46.20505905,47.11278693,45.85935781,47.11278693,6354440
07-02-2007,46.74163437,47.2782117,45.74058817,46.02266294,10890960
08-02-2007,47.07463074,47.50728494,46.40443791,47.07887013,6671280
09-02-2007,47.24427795,47.50726577,46.14991661,46.16051832,9017100
12-02-2007,46.49137115,47.50726162,46.03750727,46.47016126,8921780
13-02-2007,45.3312645,46.23474972,44.59320286,46.23474972,22695760
14-02-2007,43.14889526,44.46382779,42.63989017,44.46382779,26720800
15-02-2007,44.19024277,45.17007913,43.26979023,43.47763362,15603000
19-02-2007,43.82757187,44.61016975,43.5433774,44.49564473,11822340
20-02-2007,43.75758743,44.10964775,43.52429153,44.08207877,4645380
21-02-2007,43.09587479,43.77454934,42.84137223,43.68971624,22538940
22-02-2007,41.87849808,43.43520836,41.48401803,43.18070584,21479960
23-02-2007,40.64415741,42.36629455,39.23590662,41.54764253,10172580
26-02-2007,40.37056732,41.86577088,39.87216398,41.47129083,7509420
27-02-2007,41.39494324,41.61127186,39.02382335,40.50842533,12713780
28-02-2007,39.6600914,40.21151643,38.17548905,38.42999166,18341040
01-03-2007,41.58158112,41.95061192,39.91458501,40.72051246,12116680
02-03-2007,39.77036667,41.568855,39.1956122,41.568855,13026420
05-03-2007,39.36528778,39.8297567,37.47772343,39.09381792,9433540
06-03-2007,39.36104584,39.99942686,38.61450534,39.40558533,13449560
07-03-2007,38.83507919,40.71628154,38.42999404,40.55085467,9825280
08-03-2007,41.32072449,41.99303686,38.83507578,38.98141567,10255320
09-03-2007,41.43737411,41.95062198,40.56145768,41.69611936,8808060
12-03-2007,40.29846954,41.73217332,40.09062612,41.43737384,9646900
13-03-2007,40.72687912,41.14468885,39.88489734,40.7205168,6891480
14-03-2007,39.57313156,39.82975708,38.81174349,39.28681736,10374460
15-03-2007,38.95595932,41.56886069,38.81174238,40.93260262,10091540
16-03-2007,38.32393646,39.6600788,37.56042887,39.6600788,9597300
19-03-2007,39.22106552,39.57525202,38.38968872,38.59965505,5299660
20-03-2007,40.51903152,40.67809603,39.59645612,39.66008257,18142200
21-03-2007,40.95804596,41.14044004,40.2963387,40.63567758,6889140
22-03-2007,43.51580811,43.77455331,41.39919053,41.95061548,9608520
23-03-2007,42.89015579,43.68972101,42.2475354,43.68972101,11551640
26-03-2007,41.28042603,43.18071834,41.02804312,43.18071834,15065200
28-03-2007,40.65477753,41.27194874,40.3811847,41.27194874,8616320
29-03-2007,39.60706711,40.50631306,39.36316946,40.38117984,51260300
30-03-2007,40.47237396,41.1404436,39.78733705,40.12667273,21617760
02-04-2007,38.23274231,39.10865525,37.95914957,38.60389279,13241560
03-04-2007,38.77781296,39.18501779,38.22426823,38.22426823,13015840
04-04-2007,39.23803329,39.74491875,39.02382758,39.2359136,7502780
05-04-2007,39.98245239,40.21150565,38.93898969,39.23802848,5772400
09-04-2007,41.19347382,41.35678099,39.98246425,40.28362606,4271380
10-04-2007,42.07574844,42.20512105,40.46601621,41.35677691,7468740
11-04-2007,41.54128647,42.28994984,41.35677267,41.99303071,8853740
12-04-2007,40.65053177,41.14469264,40.38118159,41.14469264,7133340
13-04-2007,41.61975861,41.86577591,40.38117388,40.72051278,8401980
16-04-2007,41.3546524,42.3747856,40.98350189,41.99303013,6233680
17-04-2007,41.4861412,42.16269604,41.21467139,41.61127116,14800380
18-04-2007,41.58582687,42.07786475,41.31859966,41.78094562,6378140
19-04-2007,41.67278671,42.07786859,40.72476187,40.99623173,6470360
20-04-2007,42.1881485,42.79895724,41.14468572,41.80215365,7150040
23-04-2007,41.85729599,42.7692665,41.73852834,42.37478638,6792960
24-04-2007,43.0004425,43.4606688,41.40979728,41.85729893,34375140
25-04-2007,43.73213577,44.11389125,43.05346117,43.05346117,32408380
26-04-2007,43.878479,44.32598066,42.68019422,44.09056504,25270200
27-04-2007,43.03648758,44.11388477,41.79154389,41.79154389,7118740
30-04-2007,43.44157028,43.68971048,41.15528375,42.67169716,10217700
03-05-2007,42.61232376,44.11389321,42.41720501,43.47763513,20557680
04-05-2007,42.74592972,43.26553972,42.45961235,42.62928178,8374140
07-05-2007,42.41933441,43.26131638,42.33238158,42.89016575,8307880
08-05-2007,42.04816818,42.41295635,41.87425935,42.41295635,9539920
09-05-2007,42.19239807,42.33237564,41.56886458,42.01424657,4185720
10-05-2007,42.91772079,43.47762768,42.42780268,42.42780268,12945160
11-05-2007,42.10331726,42.8413757,40.6165922,41.84881469,14292300
14-05-2007,42.24329376,43.26343028,42.04605531,42.62929189,15756120
15-05-2007,42.88591385,43.04073573,42.20723602,42.32388398,10986900
16-05-2007,43.92089844,44.31750154,42.7289759,43.26555333,47687660
17-05-2007,44.50169373,45.26399252,44.07676875,44.58497012,23042340
18-05-2007,45.7081337,46.63485114,44.11520512,44.41414518,41166740
21-05-2007,47.26689911,47.91602748,45.9088511,46.12238064,22417600
22-05-2007,47.62136459,48.38152933,47.24341635,47.94165894,15106340
23-05-2007,47.60213852,48.04414623,45.93233922,45.93233922,10822920
24-05-2007,46.59855652,47.87332829,46.1223865,47.21565684,7011260
25-05-2007,45.66116714,46.33592144,45.31525025,45.35368401,13399620
28-05-2007,48.13596344,48.47120639,46.92952282,46.92952282,14364120
29-05-2007,48.87265015,49.15450749,47.87760155,48.12956488,8731440
30-05-2007,47.14946365,48.89827135,46.80568092,48.89827135,13106680
31-05-2007,49.00931168,49.53245851,47.45908479,47.45908479,18391000
01-06-2007,49.25914383,49.75239668,48.72745395,48.98368882,14867460
04-06-2007,49.89759064,50.57234489,49.02639282,49.79509735,9738760
05-06-2007,49.52177048,49.75238277,49.11819978,49.53885323,6234920
06-06-2007,48.1381073,49.6242713,47.74521367,49.53886077,9076620
07-06-2007,47.21351242,48.25340014,47.01919977,47.8049901,6244300
08-06-2007,46.58999634,46.97648416,45.95581354,46.54942522,9823080
11-06-2007,46.86332321,48.17226019,46.54943456,47.21137737,9177920
12-06-2007,46.47043228,47.57437955,45.73802431,47.27543626,3986840
13-06-2007,46.24624252,46.54945417,45.90245973,46.47044926,7293920
14-06-2007,46.82276154,47.83062132,46.54944396,46.93379782,6880320
15-06-2007,47.41851044,47.7452104,46.76297313,46.97650269,7628140
18-06-2007,46.48324966,48.04201608,46.26331448,47.03415631,3837780
19-06-2007,46.97436523,47.39074719,46.12238119,46.12238119,12678440
20-06-2007,46.97862625,47.64056903,46.42985711,46.76296262,13362220
21-06-2007,47.05336761,47.57438019,46.80567258,46.97649685,25488140
22-06-2007,47.10462189,47.73239605,46.84838381,46.84838381,12899220
25-06-2007,46.96796799,47.39502715,46.63699649,47.39502715,7349860
26-06-2007,46.92097855,47.4035541,46.549436,46.549436,14878840
27-06-2007,46.56438828,47.13664588,46.25049959,47.13664588,9577740
28-06-2007,46.86120224,47.08327157,45.9088589,46.72027194,14650180
29-06-2007,48.9730072,49.15450538,46.67756437,46.97650446,18784100
02-07-2007,49.00716782,49.75238715,48.3003855,49.75238715,10032480
03-07-2007,49.13314438,50.09402723,48.68473108,49.39365066,8261500
04-07-2007,49.14382553,49.31892133,48.30038444,49.2826217,5851020
05-07-2007,48.21924591,49.5132345,47.92030258,49.3167877,10347480
06-07-2007,49.46625519,49.79508925,48.05695889,48.603594,10263640
09-07-2007,49.86342239,50.35026952,49.66697559,49.75238611,8755140
10-07-2007,49.08190536,51.22147249,48.86197018,51.22147249,18476240
11-07-2007,49.05841064,49.70967638,48.6420287,49.19720354,8939960
12-07-2007,51.30901337,51.46062078,49.13315002,49.41073583,10772120
13-07-2007,52.37452698,52.95532761,51.36666726,51.50332604,17223940
16-07-2007,52.00085449,52.52827278,51.24709539,52.52827278,6617640
17-07-2007,51.21720123,52.43004759,50.7858706,52.1012135,6528200
18-07-2007,51.24922943,52.08840231,50.22215275,50.82003618,11781200
19-07-2007,51.64212036,52.07771919,50.22214697,50.86700709,19265640
20-07-2007,51.28552246,52.35744165,51.08694156,52.14391211,7446440
23-07-2007,52.54108047,52.73966465,50.84352121,51.17876091,6900560
24-07-2007,53.33541489,53.59592122,51.72326601,52.48129662,9134500
25-07-2007,52.91475677,53.16885746,51.71685588,53.16885746,5462740
26-07-2007,51.98376465,52.84855992,50.86273459,52.84855992,11229180
27-07-2007,49.93815231,50.82003035,49.11606554,50.82003035,13060660
30-07-2007,49.91680908,51.16168688,49.19721221,49.53458932,9495620
31-07-2007,51.27271271,51.66987779,49.15450004,50.39297203,12367440
01-08-2007,49.59651566,50.82003922,47.87546779,50.77306245,19603560
02-08-2007,49.21429825,49.62000642,48.69328554,49.09899371,11486760
03-08-2007,49.32532501,49.92320839,48.59932586,49.83779462,5668700
06-08-2007,48.36444092,48.68473523,47.27543896,48.46693419,13700780
07-08-2007,48.74453354,49.92321776,48.30039161,49.45345333,7850720
08-08-2007,50.04065323,50.92252809,48.89826879,48.89826879,9735040
09-08-2007,49.35308075,50.92679233,48.64202703,50.72821143,9963460
10-08-2007,48.27903366,48.47120896,46.59214822,47.02988446,11183340
13-08-2007,48.49896622,49.06695233,47.92457122,48.68473588,6990060
14-08-2007,49.01142502,49.19719464,48.09965316,48.47546716,3739280
16-08-2007,46.72025681,47.56583183,46.17575591,47.03200806,13261400
17-08-2007,45.61418533,46.88255149,44.89245761,46.53663463,17813000
20-08-2007,47.44199371,48.642032,47.02561174,47.02561174,16216840
21-08-2007,47.14518738,48.17226724,46.93592933,48.17226724,4472260
22-08-2007,47.7195816,47.91176015,46.89322331,47.14732399,10904820
23-08-2007,46.98291016,48.89827062,45.9088567,47.93738758,17498560
24-08-2007,46.8782692,47.91602279,46.12451025,46.92097771,16790980
27-08-2007,47.81354141,48.12529602,47.04269953,47.04269953,11009360
28-08-2007,49.13742065,49.47052624,47.77723842,48.01852786,10280800
29-08-2007,49.6477623,50.39298172,47.85198098,47.87333198,13768500
30-08-2007,50.41859055,51.11896713,49.17798452,49.17798452,18028920
31-08-2007,50.038517,51.03356554,49.45344808,50.09403677,13085820
03-09-2007,50.23923874,52.02861764,49.98086977,52.02861764,7861420
04-09-2007,50.24137115,51.03356729,49.77374413,50.39297858,4634660
05-09-2007,50.07054901,50.57874716,49.4534487,49.77587717,4036960
06-09-2007,50.58942032,50.71753935,49.49615007,49.53885533,3003320
07-09-2007,51.09975815,51.50332888,48.70822774,49.63708263,5225420
10-09-2007,51.08053589,51.50332346,49.96591145,50.00861671,4565040
11-09-2007,50.72607803,51.46062019,50.48478861,51.08053786,3622340
12-09-2007,50.48478317,51.32822739,50.39296704,50.90543659,2501020
13-09-2007,51.82362747,51.97309752,50.47839049,50.47839049,11261480
14-09-2007,52.64357376,53.37811593,51.67415104,51.75956156,8943820
17-09-2007,52.36384964,53.33540973,51.88981379,52.02433844,4804860
18-09-2007,52.57738876,52.73540183,51.3987078,52.1012187,4634780
19-09-2007,56.555439,57.22592498,53.63862753,54.27921625,19943240
20-09-2007,56.63657379,57.1832089,55.9490084,56.6707393,10048500
21-09-2007,56.30559921,56.90347926,55.81661479,56.44225472,7397100
24-09-2007,57.50351715,57.90922859,57.02521294,57.31134182,8850200
25-09-2007,59.63238144,60.17261082,57.43943581,57.50349205,9633320
26-09-2007,58.75053024,59.3612217,58.0843125,59.3612217,15567160
27-09-2007,61.19758987,62.30793998,58.55195478,58.59466331,21646960
28-09-2007,61.30860138,61.6630612,59.9163911,61.43245216,11914540
01-10-2007,60.28578949,61.91075261,59.41245449,61.4965048,14461960
03-10-2007,60.84737396,61.44526057,60.04877559,60.36906989,9845300
04-10-2007,60.20250702,60.58685751,59.27578978,60.12990777,8058100
05-10-2007,59.92279816,60.64239169,59.45516792,60.2153326,5934180
08-10-2007,60.10217667,61.49652469,59.74557937,60.44168795,13414460
09-10-2007,60.69151688,60.85593231,58.34482228,58.34482228,9376780
10-10-2007,60.51213837,61.92356547,59.62171733,61.07799033,9075580
11-10-2007,62.38053513,62.98695836,60.68510973,60.85593078,9010140
12-10-2007,61.18476486,62.39334301,60.67656344,61.71004578,9317820
15-10-2007,64.02469635,65.12650956,61.92356646,61.92356646,22605080
16-10-2007,64.38982391,64.90656822,62.56841738,64.90656822,9401340
17-10-2007,62.46805954,63.40972552,55.73120567,60.05731591,12514880
18-10-2007,59.28435516,62.47875583,58.08431346,61.83816709,12403100
19-10-2007,58.35122681,61.49651991,57.14906073,57.65298742,9959160
22-10-2007,58.58822632,59.66014208,56.84155654,58.88289808,11298040
23-10-2007,63.55493927,64.69945455,59.28861646,59.70286431,17765180
24-10-2007,64.65460968,65.12650813,62.71362699,64.91297859,12287460
25-10-2007,66.36497498,67.42621699,62.57696322,63.84959739,12865860
26-10-2007,66.04467773,66.6169418,63.46951225,65.68168146,6943260
29-10-2007,70.33449554,71.31886356,67.26180246,67.5607425,5857960
30-10-2007,69.20703888,73.3858125,68.85685391,70.67826017,8068040
31-10-2007,70.60992432,71.27613523,67.47531323,67.90237217,8414440
01-11-2007,72.18153381,73.81289625,71.1587254,73.81289625,14329740
02-11-2007,75.61080933,76.86208927,70.0611723,70.0611723,5836120
05-11-2007,73.28546906,74.73533641,71.54520467,74.73533641,9186000
06-11-2007,72.95024109,74.64565978,72.17299037,73.66769727,7367280
